X,pop,abs,tempo,conc,experiment,abs_norm,n_parasitos,n_base
1,REF,0.143,0,0,EXP1,0.2267142857142857,315374.92123503465,500000
2,C76,0.139,0,0,EXP1,0.20814285714285713,333905.2848318463,500000
3,C67,0.137,0,0,EXP1,0.163,420245.3987730061,500000
4,C68,0.204,0,0,EXP1,0.16057142857142856,635231.3167259787,500000
5,REF,0.177,0,10,EXP1,0.1907142857142857,464044.9438202248,500000
6,C76,0.279,0,10,EXP1,0.20285714285714285,687676.0563380282,500000
7,C67,0.269,0,10,EXP1,0.17828571428571427,754407.0512820514,500000
8,C68,0.261,0,10,EXP1,0.17842857142857144,731385.1080864691,500000
9,REF,0.228,0,50,EXP1,0.1757142857142857,648780.487804878,500000
10,C76,0.284,0,50,EXP1,0.18585714285714286,764027.6710222905,500000
11,C67,0.283,0,50,EXP1,0.1814285714285714,779921.2598425198,500000
12,C68,0.266,0,50,EXP1,0.17485714285714285,760620.9150326798,500000
13,REF,0.176,0,75,EXP1,0.15271428571428572,576239.4761459307,500000
14,C76,0.284,0,75,EXP1,0.18371428571428572,772939.3468118196,500000
15,C67,0.28,0,75,EXP1,0.174,804597.7011494254,500000
16,C68,0.253,0,75,EXP1,0.16428571428571428,770000,500000
17,REF,0.208,0,100,EXP1,0.16128571428571428,644818.4233835252,500000
18,C76,0.153,0,100,EXP1,0.14585714285714285,524485.7982370226,500000
19,C67,0.267,0,100,EXP1,0.16542857142857142,806994.8186528498,500000
20,C68,0.263,0,100,EXP1,0.16914285714285715,777449.3243243243,500000
21,REF,0.138,0,150,EXP1,0.13871428571428573,497425.33470648807,500000
22,C76,0.142,0,150,EXP1,0.15257142857142855,465355.80524344573,500000
23,C67,0.14,0,150,EXP1,0.14014285714285715,499490.31600407744,500000
24,C68,0.15,0,150,EXP1,0.14414285714285713,520317.14568880084,500000
25,REF,0.198,0,0,EXP2,0.3861428571428571,256381.79800221976,500000
26,C76,0.2,0,0,EXP2,0.35614285714285715,280786.20136381866,500000
27,C67,0.205,0,0,EXP2,0.3414285714285714,300209.2050209205,500000
28,C68,0.205,0,0,EXP2,0.335,305970.1492537313,500000
29,REF,0.225,0,10,EXP2,0.4005714285714286,280848.787446505,500000
30,C76,0.206,0,10,EXP2,0.3007142857142857,342517.8147268409,500000
31,C67,0.202,0,10,EXP2,0.2904285714285714,347761.92818494834,500000
32,C68,0.212,0,10,EXP2,0.31614285714285717,335291.4595571622,500000
33,REF,0.228,0,50,EXP2,0.36057142857142854,316164.8177496038,500000
34,C76,0.209,0,50,EXP2,0.2784285714285714,375320.6772703951,500000
35,C67,0.212,0,50,EXP2,0.2857142857142857,371000,500000
36,C68,0.21,0,50,EXP2,0.2865714285714286,366400.79760717845,500000
37,REF,0.223,0,75,EXP2,0.3142857142857143,354772.7272727273,500000
38,C76,0.217,0,75,EXP2,0.24457142857142858,443633.1775700934,500000
39,C67,0.21,0,75,EXP2,0.2392857142857143,438805.9701492537,500000
40,C68,0.217,0,75,EXP2,0.2654285714285714,408772.87405812705,500000
41,REF,0.217,0,100,EXP2,0.2695714285714286,402490.7260201378,500000
42,C76,0.21,0,100,EXP2,0.213,492957.74647887325,500000
43,C67,0.214,0,100,EXP2,0.21114285714285716,506765.89986468194,500000
44,C68,0.226,0,100,EXP2,0.2672857142857143,422768.5729556387,500000
45,REF,0.203,0,150,EXP2,0.23399999999999999,433760.6837606838,500000
46,C76,0.207,0,150,EXP2,0.19557142857142856,529218.407596786,500000
47,C67,0.204,0,150,EXP2,0.19357142857142856,526937.2693726937,500000
48,C68,0.209,0,150,EXP2,0.20085714285714285,520270.2702702703,500000
49,REF,0.191,0,0,EXP3,0.31871428571428573,299641.41640519944,500000
50,C76,0.192,0,0,EXP3,0.28785714285714287,333498.7593052109,500000
51,C67,0.199,0,0,EXP3,0.2592857142857143,383746.5564738292,500000
52,C68,0.193,0,0,EXP3,0.256,376953.125,500000
53,REF,0.202,0,10,EXP3,0.2601428571428571,388248.2152663372,500000
54,C76,0.22,0,10,EXP3,0.19485714285714287,564516.1290322581,500000
55,C67,0.208,0,10,EXP3,0.1915714285714286,542878.4489187173,500000
56,C68,0.208,0,10,EXP3,0.19914285714285715,522238.1635581062,500000
57,REF,0.207,0,50,EXP3,0.19085714285714286,542290.4191616767,500000
58,C76,0.226,0,50,EXP3,0.197,573604.0609137056,500000
59,C67,0.215,0,50,EXP3,0.194,554123.7113402062,500000
60,C68,0.203,0,50,EXP3,0.18971428571428572,535015.0602409638,500000
61,REF,0.209,0,75,EXP3,0.18528571428571428,563993.831919815,500000
62,C76,0.235,0,75,EXP3,0.19642857142857142,598181.8181818182,500000
63,C67,0.222,0,75,EXP3,0.19742857142857143,562228.6541244573,500000
64,C68,0.203,0,75,EXP3,0.18971428571428572,535015.0602409638,500000
65,REF,0.202,0,100,EXP3,0.18042857142857144,559778.305621536,500000
66,C76,0.226,0,100,EXP3,0.196,576530.612244898,500000
67,C67,0.225,0,100,EXP3,0.1997142857142857,563304.721030043,500000
68,C68,0.208,0,100,EXP3,0.18885714285714286,550680.7866868381,500000
69,REF,0.197,0,150,EXP3,0.18485714285714286,532843.8948995363,500000
70,C76,0.214,0,150,EXP3,0.193,554404.1450777202,500000
71,C67,0.208,0,150,EXP3,0.18828571428571428,552352.0485584219,500000
72,C68,0.194,0,150,EXP3,0.17342857142857143,559308.0724876442,500000
